,imgt,tenx,adaptive,adaptive_v2
321,TRBV7-2*02,TRBV7-2,TCRBV07-02*02,TCRBV07-02*02
322,TRBV7-2*03,TRBV7-2,TCRBV07-02*03,TCRBV07-02*03
323,TRBV7-2*04,TRBV7-2,TCRBV07-02*04,TCRBV07-02*04
324,TRBV7-3*01,TRBV7-3,TCRBV07-03*01,TCRBV07-03*01
325,TRBV7-3*02,TRBV7-3,TCRBV07-03*02,TCRBV07-03*02
326,TRBV7-3*03,TRBV7-3,TCRBV07-03*03,TCRBV07-03*03
327,TRBV7-3*04,TRBV7-3,TCRBV07-03*04,TCRBV07-03*04
328,TRBV7-3*05,TRBV7-3,TCRBV07-03*05,TCRBV07-03*05
329,TRBV7-4*01,TRBV7-4,TCRBV07-04*01,TCRBV07-04*01
330,TRBV7-6*01,TRBV7-6,TCRBV07-06*01,TCRBV07-06*01
331,TRBV7-6*02,TRBV7-6,TCRBV07-06*02,TCRBV07-06*02
332,TRBV7-7*01,TRBV7-7,TCRBV07-07*01,TCRBV07-07*01
333,TRBV7-7*02,TRBV7-7,TCRBV07-07*02,TCRBV07-07*02
334,TRBV7-8*01,TRBV7-8,TCRBV07-08*01,TCRBV07-08*01
335,TRBV7-8*02,TRBV7-8,TCRBV07-08*02,TCRBV07-08*02
336,TRBV7-8*03,TRBV7-8,TCRBV07-08*03,TCRBV07-08*03
337,TRBV7-9*01,TRBV7-9,TCRBV07-09*01,TCRBV07-09*01
338,TRBV7-9*02,TRBV7-9,TCRBV07-09*02,TCRBV07-09*02
339,TRBV7-9*03,TRBV7-9,TCRBV07-09*03,TCRBV07-09*03
340,TRBV7-9*04,TRBV7-9,TCRBV07-09*04,TCRBV07-09*04
